datetime,open,high,low,close,volume,oi
2004-03-11 00:00:00+05:30,110.11,111.27,108.38,108.93,28983397,0
2004-03-12 00:00:00+05:30,108.67,109.53,106.85,108.3,28106909,0
2004-03-15 00:00:00+05:30,109.16,109.69,103.95,104.92,34410447,0
2004-03-16 00:00:00+05:30,103.95,106.81,103.08,104.31,44219439,0
2004-03-17 00:00:00+05:30,104.91,106.26,103.02,104.03,41615839,0
2004-03-18 00:00:00+05:30,104.34,104.74,99.2,99.93,58103138,0
2004-03-19 00:00:00+05:30,99.52,101.75,99.52,100.73,40708909,0
2004-03-22 00:00:00+05:30,98.0,100.67,97.32,97.73,33430971,0
2004-03-23 00:00:00+05:30,97.98,99.62,97.26,98.51,34491839,0
2004-03-24 00:00:00+05:30,98.56,99.19,97.37,98.62,36810364,0
2004-03-25 00:00:00+05:30,98.76,100.16,98.23,98.95,49930956,0
2004-03-26 00:00:00+05:30,99.71,102.08,99.71,101.2,39207013,0
2004-03-29 00:00:00+05:30,101.28,102.91,101.08,101.79,29661984,0
2004-03-30 00:00:00+05:30,102.04,103.31,101.26,101.48,33060665,0
2004-03-31 00:00:00+05:30,101.46,103.95,101.01,103.57,28514982,0
2004-04-01 00:00:00+05:30,103.76,107.36,103.76,107.0,40229262,0
2004-04-02 00:00:00+05:30,125.13,125.13,106.98,108.92,37009413,0
2004-04-05 00:00:00+05:30,109.15,111.91,109.15,110.71,33644114,0
2004-04-06 00:00:00+05:30,110.88,112.11,108.7,110.76,37104000,0
2004-04-07 00:00:00+05:30,111.62,111.82,109.73,110.5,21598327,0
2004-04-08 00:00:00+05:30,109.73,111.59,108.86,110.29,24098919,0
2004-04-12 00:00:00+05:30,110.78,110.78,107.55,108.14,19900992,0
2004-04-13 00:00:00+05:30,108.57,110.86,106.91,110.36,21064582,0
2004-04-15 00:00:00+05:30,111.44,111.88,108.3,108.83,30917304,0
2004-04-16 00:00:00+05:30,108.96,110.25,108.51,108.98,15738623,0
2004-04-17 00:00:00+05:30,108.96,109.32,108.48,108.73,4232457,0
2004-04-19 00:00:00+05:30,108.47,109.61,105.99,106.38,21167579,0
2004-04-20 00:00:00+05:30,106.74,106.74,105.49,106.33,18248317,0
2004-04-21 00:00:00+05:30,105.88,109.62,105.88,109.41,24630566,0
2004-04-22 00:00:00+05:30,109.34,110.46,108.47,109.48,16819787,0
2004-04-23 00:00:00+05:30,109.34,110.65,108.79,109.21,18641257,0
2004-04-27 00:00:00+05:30,107.8,107.8,103.44,103.84,34717777,0
2004-04-28 00:00:00+05:30,103.96,105.68,103.4,104.03,34197678,0
2004-04-29 00:00:00+05:30,103.76,104.72,101.35,101.89,85831470,0
2004-04-30 00:00:00+05:30,108.76,120.33,100.52,101.34,38624868,0
2004-05-03 00:00:00+05:30,101.45,102.28,99.27,101.73,42791740,0
2004-05-04 00:00:00+05:30,103.16,121.86,101.85,102.17,24861496,0
